indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
36,N,New_N_037.wav,10-6-4,0.312888636654282,126x4,4x212,10,0.05472514283372156,0.3369836870140131,0.012539800001832191,6,0.20456912423276885,0.1415517628027244,0.004092800001672003,4,0.40468603839564643,0.11156928953640483,0.0034212999998999294
37,N,New_N_038.wav,10-6-4,0.26804610601568374,126x4,4x212,10,0.05660505328868805,0.32272252012459923,0.011381600001186598,6,0.14589546624378635,0.13610361132947077,0.004523799998423783,4,0.31719861338071587,0.11970201478586225,0.00420759999906295
38,N,New_N_039.wav,10-6-4,0.218518913663324,126x4,4x212,10,0.04036035859898197,0.4435451098388398,0.011244699999224395,6,0.23124600826315406,0.19746040006141555,0.004607099999702768,4,0.42478453751230794,0.21880995864522276,0.003425200000492623
39,N,New_N_040.wav,10-6-4,0.3440277919636273,126x4,4x212,10,0.04724136891208161,0.3535745088185742,0.013516999999410473,6,0.15914659734680278,0.15668635802524553,0.005271799996990012,4,0.26397958014298295,0.11683181900857598,0.0038194000007933937
40,N,New_N_041.wav,10-6-4,0.3227189564492643,126x4,4x212,10,0.05454798740738684,0.39608345161080194,0.017017500002111774,6,0.20115794326014133,0.1557761007745321,0.007395600001473213,4,0.37252585854070364,0.13310324006891008,0.007657199999812292
41,N,New_N_042.wav,10-6-4,0.3025281563152384,126x4,4x212,10,0.057196602745634394,0.388474225680833,0.011410600000090199,6,0.25199969536145306,0.24604390055438566,0.007279400000697933,4,0.4205352083663637,0.28846900521132773,0.007571099999040598
42,N,New_N_043.wav,10-6-4,0.2373178794124373,126x4,4x212,10,0.05095374691093799,0.3989306446979744,0.01249669999742764,6,0.21968185996127376,0.251750080587421,0.008470199998555472,4,0.31093548251310893,0.27708697256574005,0.007665000000997679
43,N,New_N_044.wav,10-6-4,0.2515041457445427,126x4,4x212,10,0.06853864925229408,0.37501505670543583,0.017048100002284627,6,0.18152665155318667,0.13866487215852816,0.006560800000443123,4,0.3819628043728228,0.13441718068853678,0.0035903999996662606
44,N,New_N_045.wav,10-6-4,0.18231999768385948,126x4,4x212,10,0.0563174224012543,0.3863731306367383,0.012471000001823995,6,0.16060871838667792,0.21809017816644669,0.004225699998642085,4,0.3889997734389785,0.20172988014125523,0.004226299999572802
45,N,New_N_046.wav,10-6-4,0.22316316154274213,126x4,4x212,10,0.05299898222646777,0.38794120852306224,0.012447000000975095,6,0.2989813499610443,0.19581511840680038,0.00818499999877531,4,0.37104701049423583,0.1794437559258207,0.0035166999987268355
46,N,New_N_047.wav,10-6-4,0.2812363028426116,126x4,4x212,10,0.059457182064484894,0.3797646911137399,0.013704700002563186,6,0.2335644312258989,0.21285474698756005,0.005684399999154266,4,0.270136386559222,0.21323079290241456,0.00380330000189133
47,N,New_N_048.wav,10-6-4,0.25555010396056266,126x4,4x212,10,0.054173628128061,0.37246203451837556,0.018412900000839727,6,0.2225206128812643,0.21975497166925093,0.004196300000330666,4,0.37757982017985414,0.22237317873388437,0.0034476000000722706
