indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
72,SNR_0db,N,New_N_073.wav,10,DeepONMF_H1,1,0.30696538282432867,10x212,0.007703399984166026,10,0.30696538282432867,0.3027128890410087,0.006941800005733967
73,SNR_0db,N,New_N_074.wav,10,DeepONMF_H1,1,0.3049136054534047,10x212,0.00704499997664243,10,0.3049136054534047,0.29448603365859694,0.006389099988155067
74,SNR_0db,N,New_N_075.wav,10,DeepONMF_H1,1,0.30893259525467914,10x212,0.007336599985137582,10,0.30893259525467914,0.2644785721643976,0.0067937999265268445
75,SNR_0db,N,New_N_076.wav,10,DeepONMF_H1,1,0.3083443610007137,10x212,0.006899400032125413,10,0.3083443610007137,0.19957748857049193,0.006389799993485212
76,SNR_0db,N,New_N_077.wav,10,DeepONMF_H1,1,0.30596684320531065,10x212,0.007491299998946488,10,0.30596684320531065,0.25543651619682933,0.006936999969184399
77,SNR_0db,N,New_N_078.wav,10,DeepONMF_H1,1,0.30908643284569415,10x212,0.007222000043839216,10,0.30908643284569415,0.23283411797909068,0.006511199986562133
78,SNR_0db,N,New_N_079.wav,10,DeepONMF_H1,1,0.3035322015240025,10x212,0.007569100009277463,10,0.3035322015240025,0.24093144931772492,0.006866799900308251
79,SNR_0db,N,New_N_080.wav,10,DeepONMF_H1,1,0.3064976388547355,10x212,0.007175799924880266,10,0.3064976388547355,0.2523378324015149,0.0064860000275075436
80,SNR_0db,N,New_N_081.wav,10,DeepONMF_H1,1,0.3100734192328897,10x212,0.0074501000344753265,10,0.3100734192328898,0.24806008596670553,0.006715000024996698
81,SNR_0db,N,New_N_082.wav,10,DeepONMF_H1,1,0.30487684069710674,10x212,0.007520799990743399,10,0.30487684069710674,0.27727855159264564,0.006818499998189509
82,SNR_0db,N,New_N_083.wav,10,DeepONMF_H1,1,0.3038328225484313,10x212,0.007103799958713353,10,0.30383282254843125,0.23808436495765276,0.006404599989764392
83,SNR_0db,N,New_N_084.wav,10,DeepONMF_H1,1,0.305673973553886,10x212,0.007333100074902177,10,0.305673973553886,0.25623894638481953,0.006739200092852116
84,SNR_0db,N,New_N_085.wav,10,DeepONMF_H1,1,0.30120847450835686,10x212,0.0067440998973324895,10,0.30120847450835686,0.24485621844299807,0.006302099907770753
85,SNR_0db,N,New_N_086.wav,10,DeepONMF_H1,1,0.3064594904892362,10x212,0.007195000071078539,10,0.3064594904892362,0.23560344188862403,0.006608600029721856
