indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
246,original,ONMF,22-15-10,3,0.05,0.20979799016236725,10x212,126x10,0.034705700003542006
247,original,ONMF,22-15-10,3,0.05,0.19535802308265957,10x212,126x10,0.0312928999774158
248,original,ONMF,22-15-10,3,0.05,0.1907333938676982,10x212,126x10,0.02982439997140318
249,original,ONMF,22-15-10,3,0.05,0.19054999965073077,10x212,126x10,0.03197609994094819
250,original,ONMF,22-15-10,3,0.05,0.19016347708265205,10x212,126x10,0.030922400066629052
251,original,ONMF,22-15-10,3,0.05,0.18490791000831755,10x212,126x10,0.032317599980160594
252,original,ONMF,22-15-10,3,0.05,0.19796238982264355,10x212,126x10,0.031192299909889698
253,original,ONMF,22-15-10,3,0.05,0.18636887810297537,10x212,126x10,0.033594600041396916
254,original,ONMF,22-15-10,3,0.05,0.19098574024522835,10x212,126x10,0.0330563000170514
255,original,ONMF,22-15-10,3,0.05,0.20029901708587625,10x212,126x10,0.03213549999054521
256,original,ONMF,22-15-10,3,0.05,0.19319278825691272,10x212,126x10,0.032373699941672385
257,original,ONMF,22-15-10,3,0.05,0.18936174175902062,10x212,126x10,0.03245950001291931
258,original,ONMF,22-15-10,3,0.05,0.20442693748673815,10x212,126x10,0.03282670001499355
259,original,ONMF,22-15-10,3,0.05,0.20833400264541294,10x212,126x10,0.034325000015087426
260,original,ONMF,22-15-10,3,0.05,0.19284423255074223,10x212,126x10,0.031084699905477464
261,original,ONMF,22-15-10,3,0.05,0.19929324754754976,10x212,126x10,0.03275859996210784
262,original,ONMF,22-15-10,3,0.05,0.1904050775086861,10x212,126x10,0.032428800011985004
263,original,ONMF,22-15-10,3,0.05,0.18832364271833468,10x212,126x10,0.030861999955959618
264,original,ONMF,22-15-10,3,0.05,0.1902217862428904,10x212,126x10,0.02977429993916303
265,original,ONMF,22-15-10,3,0.05,0.1903669397910066,10x212,126x10,0.029953100020065904
266,original,ONMF,22-15-10,3,0.05,0.21128558556551114,10x212,126x10,0.03263540007174015
267,original,ONMF,22-15-10,3,0.05,0.22615939152124567,10x212,126x10,0.03293019998818636
268,original,ONMF,22-15-10,3,0.05,0.1899724236162409,10x212,126x10,0.03339210001286119
269,original,ONMF,22-15-10,3,0.05,0.19012200903738413,10x212,126x10,0.03194349992554635
270,original,ONMF,22-15-10,3,0.05,0.20078137041262314,10x212,126x10,0.03101559996139258
271,original,ONMF,22-15-10,3,0.05,0.18817019415992334,10x212,126x10,0.0316898999735713
272,original,ONMF,22-15-10,3,0.05,0.20960154762029223,10x212,126x10,0.030801499960944057
273,original,ONMF,22-15-10,3,0.05,0.18929598218857763,10x212,126x10,0.03201770002488047
274,original,ONMF,22-15-10,3,0.05,0.1919918912031123,10x212,126x10,0.03230960003565997
275,original,ONMF,22-15-10,3,0.05,0.18590247261085158,10x212,126x10,0.03205300006084144
276,original,ONMF,22-15-10,3,0.05,0.20923314250658248,10x212,126x10,0.033443599939346313
277,original,ONMF,22-15-10,3,0.05,0.21317616920645693,10x212,126x10,0.031728000030852854
278,original,ONMF,22-15-10,3,0.05,0.2082340236163599,10x212,126x10,0.03523700009100139
279,original,ONMF,22-15-10,3,0.05,0.20140335730255102,10x212,126x10,0.03582119999919087
280,original,ONMF,22-15-10,3,0.05,0.21259035969397697,10x212,126x10,0.033265799982473254
281,original,ONMF,22-15-10,3,0.05,0.2154384302117394,10x212,126x10,0.03215260000433773
282,original,ONMF,22-15-10,3,0.05,0.21770057190800848,10x212,126x10,0.032862799940630794
283,original,ONMF,22-15-10,3,0.05,0.20422484833640597,10x212,126x10,0.03321040002629161
284,original,ONMF,22-15-10,3,0.05,0.20487142531784877,10x212,126x10,0.031127499998547137
285,original,ONMF,22-15-10,3,0.05,0.20045021611684816,10x212,126x10,0.03221890004351735
