indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
569,SNR_5db,MR,New_MR_170.wav,30-13-6,DeepONMF_H3,3,0.4040383500903382,6x212,0.025102100102230906,30,0.19378679647482377,0.2458254692684324,0.016737200086936355,13,0.3913115989214504,0.14965075035576725,0.004266300005838275,6,0.5217147321890615,0.14090493150802633,0.0026681999443098903
570,SNR_5db,MR,New_MR_171.wav,30-13-6,DeepONMF_H3,3,0.40170428903725297,6x212,0.02401980001013726,30,0.1935279749956584,0.2543375157777318,0.016000500065274537,13,0.36082071539553073,0.14494189105424876,0.004623700049705803,6,0.5389435446146327,0.12042885349717243,0.0026494000339880586
571,SNR_5db,MR,New_MR_172.wav,30-13-6,DeepONMF_H3,3,0.4173025758955701,6x212,0.02388180000707507,30,0.1980292935496373,0.2563597019700031,0.01611249998677522,13,0.40922852374203034,0.1326083462184786,0.004224699921905994,6,0.5444993963114281,0.12271854527396017,0.0025739000411704183
572,SNR_5db,MR,New_MR_173.wav,30-13-6,DeepONMF_H3,3,0.40675469488704025,6x212,0.025707800057716668,30,0.19407467547779592,0.23456890986987977,0.0162712000310421,13,0.4166633825949366,0.14520599637521495,0.005800499930046499,6,0.5366234666165315,0.12773016644341667,0.0026310000102967024
573,SNR_5db,MR,New_MR_174.wav,30-13-6,DeepONMF_H3,3,0.4039624593191197,6x212,0.023540599970147014,30,0.19346530068485385,0.23969307129726727,0.01571549999061972,13,0.3447337886265485,0.1384340877828779,0.004274400067515671,6,0.4574907191747958,0.10491732959826806,0.00261629989836365
574,SNR_5db,MR,New_MR_175.wav,30-13-6,DeepONMF_H3,3,0.39563641909801145,6x212,0.024693500017747283,30,0.1979587976203845,0.24331810129656267,0.015417900052852929,13,0.4373956988378425,0.1274240092167573,0.005697699962183833,6,0.5393349722296489,0.1254592991640057,0.0028104999801144004
575,SNR_5db,MR,New_MR_176.wav,30-13-6,DeepONMF_H3,3,0.3837922121560166,6x212,0.023290500044822693,30,0.1911799439384961,0.2509474132234992,0.01558050001040101,13,0.3905359900920131,0.15127465781856828,0.004274099948816001,6,0.5527546097110139,0.14110500865681738,0.002626699977554381
576,SNR_5db,MR,New_MR_177.wav,30-13-6,DeepONMF_H3,3,0.4195177795758613,6x212,0.02411330002360046,30,0.19917295874768043,0.24275609798257244,0.01590800005942583,13,0.40663186953284786,0.13553629123395775,0.004256100044585764,6,0.5075560480031444,0.10882439373478553,0.0029661000007763505
577,SNR_5db,MR,New_MR_178.wav,30-13-6,DeepONMF_H3,3,0.41985022558460694,6x212,0.022967300028540194,30,0.19371058270385727,0.24093903589852284,0.014502600068226457,13,0.3995023495968642,0.1370337461542283,0.004990600049495697,6,0.5403176711957518,0.11607374300003087,0.0026502000400796533
578,SNR_5db,MR,New_MR_179.wav,30-13-6,DeepONMF_H3,3,0.42241528085480895,6x212,0.02403920004144311,30,0.1969290082533412,0.2556369523645278,0.01634790003299713,13,0.3670508177757562,0.1614348211630457,0.004183199955150485,6,0.5115307415994503,0.11766380806832269,0.0026632000226527452
579,SNR_5db,MR,New_MR_180.wav,30-13-6,DeepONMF_H3,3,0.42935221253677314,6x212,0.025323300040327013,30,0.19349256546596483,0.2250921918235174,0.01678230008110404,13,0.37674621014464554,0.127352391423726,0.004875499987974763,6,0.5704703174599948,0.11938613283734949,0.002642099978402257
580,SNR_5db,MR,New_MR_181.wav,30-13-6,DeepONMF_H3,3,0.4272914802042127,6x212,0.02314860001206398,30,0.19691742669385603,0.24945786024526637,0.015317399986088276,13,0.4088045816714557,0.14334422520503085,0.0042706000385805964,6,0.5412891624337148,0.13620899593046537,0.0026400999631732702
581,SNR_5db,MR,New_MR_182.wav,30-13-6,DeepONMF_H3,3,0.4263692161987818,6x212,0.025545299984514713,30,0.19613451780300598,0.2633684958311833,0.017418300034478307,13,0.44002418731778065,0.13842213161403352,0.004614999983459711,6,0.5714464696683795,0.13830071591046542,0.0026814000448212028
582,SNR_5db,MR,New_MR_183.wav,30-13-6,DeepONMF_H3,3,0.40630189726194,6x212,0.023370300070382655,30,0.19850015343993063,0.21342512806967862,0.015383100020699203,13,0.4198151275368653,0.12791620599523554,0.004218499991111457,6,0.5312439122764889,0.10075762431441368,0.0025954999728128314
583,SNR_5db,MR,New_MR_184.wav,30-13-6,DeepONMF_H3,3,0.4543256520380798,6x212,0.02383159997407347,30,0.19642124258360547,0.2494624258385489,0.01574629999231547,13,0.37319476678419544,0.1454717612490566,0.004246900090947747,6,0.5418005449007226,0.13897954263289666,0.0028729999903589487
584,SNR_5db,MR,New_MR_185.wav,30-13-6,DeepONMF_H3,3,0.38177491917324463,6x212,0.02357530000153929,30,0.20337190899754914,0.28649860970944324,0.015749200014397502,13,0.3849322058018822,0.11622519190803661,0.004319199942983687,6,0.5461023289974027,0.11691244093960827,0.0026189000345766544
585,SNR_5db,MR,New_MR_186.wav,30-13-6,DeepONMF_H3,3,0.4317225641262903,6x212,0.02323610009625554,30,0.19420406304488777,0.233731085200105,0.015228700009174645,13,0.4412360438229792,0.1429591435372407,0.004361200029961765,6,0.5588272205809651,0.13931936560074668,0.0026274999836459756
