indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
299,SNR_-8db,AS,New_AS_100.wav,28-10,DeepONMF_H2,2,0.31788938762403424,10x212,0.022235200041905046,28,0.2540756225445664,0.3323728970137592,0.01777599996421486,10,0.5436234251408496,0.24043137008341928,0.0035059999208897352
300,SNR_-8db,AS,New_AS_101.wav,28-10,DeepONMF_H2,2,0.40588098411270646,10x212,0.021205700002610683,28,0.3149785494497315,0.2751007934237602,0.01669009996112436,10,0.5725756000318142,0.23681017085641498,0.0036147000500932336
301,SNR_-8db,AS,New_AS_102.wav,28-10,DeepONMF_H2,2,0.4091155496662396,10x212,0.02007580001372844,28,0.3179097488100851,0.2634543793521812,0.015206499956548214,10,0.5749329040572141,0.2232733179446149,0.003977800020948052
302,SNR_-8db,AS,New_AS_103.wav,28-10,DeepONMF_H2,2,0.40655787980101865,10x212,0.018727100105024874,28,0.3163406422157247,0.28614242267215,0.01390210003592074,10,0.5761523056457346,0.2414801016947488,0.004141499986872077
303,SNR_-8db,AS,New_AS_104.wav,28-10,DeepONMF_H2,2,0.41168329614381655,10x212,0.019904499989934266,28,0.3219203240954992,0.28342555210188014,0.015411200001835823,10,0.5822324921308142,0.2572407776408429,0.0036724000237882137
304,SNR_-8db,AS,New_AS_105.wav,28-10,DeepONMF_H2,2,0.4123079037774839,10x212,0.02088609989732504,28,0.3166274467114122,0.2763915323037678,0.01619100000243634,10,0.598413849699444,0.23536236741399869,0.0038787000812590122
305,SNR_-8db,AS,New_AS_106.wav,28-10,DeepONMF_H2,2,0.409535057055311,10x212,0.022811300004832447,28,0.31656327457992517,0.2828433953184541,0.017762099974788725,10,0.5720567321405657,0.23439612938709506,0.004086900036782026
306,SNR_-8db,AS,New_AS_107.wav,28-10,DeepONMF_H2,2,0.41048398377016465,10x212,0.0206890000263229,28,0.32178683567177097,0.2721942277016614,0.015670299995690584,10,0.6102031942257644,0.2515999614685488,0.004078899975866079
307,SNR_-8db,AS,New_AS_108.wav,28-10,DeepONMF_H2,2,0.4064286927021709,10x212,0.02179599995724857,28,0.3105379218146662,0.2837597951206943,0.017252200050279498,10,0.575963379572121,0.2272097406406715,0.0038562000263482332
308,SNR_-8db,AS,New_AS_109.wav,28-10,DeepONMF_H2,2,0.4104370578571937,10x212,0.022518499987199903,28,0.32222214033345153,0.27631732552056304,0.01766990008763969,10,0.5833842240307572,0.2472435184659948,0.004067600006237626
309,SNR_-8db,AS,New_AS_110.wav,28-10,DeepONMF_H2,2,0.4067598861632969,10x212,0.021580599946901202,28,0.3189096096811499,0.2773997744906218,0.01647999999113381,10,0.559681814939828,0.24090150970807164,0.004247499979101121
310,SNR_-8db,AS,New_AS_111.wav,28-10,DeepONMF_H2,2,0.40810332992307924,10x212,0.020429099909961224,28,0.3169906037512719,0.2662195129049103,0.015876100049354136,10,0.5845393238624588,0.21250412091655438,0.003810000023804605
311,SNR_-8db,AS,New_AS_112.wav,28-10,DeepONMF_H2,2,0.4113472089759584,10x212,0.019202499999664724,28,0.31257118108841875,0.2766997394998153,0.014744000043720007,10,0.6015351977962154,0.21188743871099716,0.003721300046890974
312,SNR_-8db,AS,New_AS_113.wav,28-10,DeepONMF_H2,2,0.4080896085870513,10x212,0.022177100065164268,28,0.3134368831396498,0.2943352512329227,0.017788800061680377,10,0.5599405123559676,0.25189270403934444,0.003485299996100366
313,SNR_-8db,AS,New_AS_114.wav,28-10,DeepONMF_H2,2,0.40384870056287814,10x212,0.019909400027245283,28,0.3139875098065883,0.28247806666199154,0.01458029996138066,10,0.5780059481127356,0.247445367239307,0.004320200067013502
314,SNR_-8db,AS,New_AS_115.wav,28-10,DeepONMF_H2,2,0.4100196158684988,10x212,0.0181393000530079,28,0.3155208579653899,0.2750970485843179,0.013224499998614192,10,0.5915076348571797,0.23511050443167605,0.00423590000718832
315,SNR_-8db,AS,New_AS_116.wav,28-10,DeepONMF_H2,2,0.4088211703880576,10x212,0.01919580006506294,28,0.3225449583657691,0.2740683998744201,0.014838000060990453,10,0.5771394831730989,0.22565636108421827,0.0037121999775990844
316,SNR_-8db,AS,New_AS_117.wav,28-10,DeepONMF_H2,2,0.4079275569404342,10x212,0.020519500016234815,28,0.31910292133266754,0.27938465679634467,0.016213599941693246,10,0.5734987501768543,0.2418766546983209,0.003586999955587089
317,SNR_-8db,AS,New_AS_118.wav,28-10,DeepONMF_H2,2,0.40756032663904024,10x212,0.02009029989130795,28,0.31600796221314154,0.29575987192870856,0.015305200009606779,10,0.5565187537592539,0.27705776816845107,0.0038514999905601144
318,SNR_-8db,AS,New_AS_119.wav,28-10,DeepONMF_H2,2,0.4093015337499653,10x212,0.020298499963246286,28,0.3179108210387168,0.2696544600442701,0.014913400053046644,10,0.5936572981498414,0.22183124536631305,0.0039230999536812305
319,SNR_-8db,AS,New_AS_120.wav,28-10,DeepONMF_H2,2,0.4144618852735297,10x212,0.01969330001156777,28,0.32268830955744227,0.28097988269519175,0.014752099988982081,10,0.5802409778375917,0.22861160103533099,0.004162100027315319
320,SNR_-8db,AS,New_AS_121.wav,28-10,DeepONMF_H2,2,0.4026921764088836,10x212,0.019070699927397072,28,0.31445865540740175,0.2837232042453331,0.014489199966192245,10,0.56118760900509,0.2547889901471416,0.00381499994546175
321,SNR_-8db,AS,New_AS_122.wav,28-10,DeepONMF_H2,2,0.4081913599472104,10x212,0.021491199964657426,28,0.3157776379492902,0.2840527565796431,0.017055700067430735,10,0.5801768787938667,0.23631168549869785,0.0036283000372350216
322,SNR_-8db,AS,New_AS_123.wav,28-10,DeepONMF_H2,2,0.4167043166799214,10x212,0.021262899972498417,28,0.32091463532027087,0.28798895370813316,0.01693210005760193,10,0.5882738565746582,0.26126019257759264,0.0035389999393373728
323,SNR_-8db,AS,New_AS_124.wav,28-10,DeepONMF_H2,2,0.41094945950182654,10x212,0.0217986999778077,28,0.3234915376208981,0.25566668693599814,0.01678830001037568,10,0.6199363129898315,0.23628896830018542,0.00422560004517436
324,SNR_-8db,AS,New_AS_125.wav,28-10,DeepONMF_H2,2,0.40850046094377096,10x212,0.02168050000909716,28,0.3223775316020122,0.27233943134554706,0.017093000002205372,10,0.5766574295496301,0.2350534001843999,0.0037364999298006296
325,SNR_-8db,AS,New_AS_126.wav,28-10,DeepONMF_H2,2,0.40760500434066327,10x212,0.020359199959784746,28,0.3180789151881757,0.29590128604721105,0.01589200005400926,10,0.5623805874966752,0.24496765548105334,0.003573699970729649
326,SNR_-8db,AS,New_AS_127.wav,28-10,DeepONMF_H2,2,0.4079879199011439,10x212,0.02195119997486472,28,0.3203962853983924,0.27268248412951307,0.01705739996396005,10,0.5794279677283725,0.2332133648677833,0.003891100059263408
327,SNR_-8db,AS,New_AS_128.wav,28-10,DeepONMF_H2,2,0.30784368305717447,10x212,0.019645500113256276,28,0.24920085319239413,0.31406593407394673,0.0141494000563398,10,0.5657073450165436,0.25828788290583354,0.004648700007237494
