indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
233,SNR_8db,ONMF,7,1,0.05,False,0.203713442015666,7x212,126x7,0.02632339997217059
234,SNR_8db,ONMF,7,1,0.05,False,0.20158957989570347,7x212,126x7,0.027364600216969848
235,SNR_8db,ONMF,7,1,0.05,False,0.20878682240590865,7x212,126x7,0.025041500106453896
236,SNR_8db,ONMF,7,1,0.05,False,0.20468571418342177,7x212,126x7,0.025194099871441722
237,SNR_8db,ONMF,7,1,0.05,False,0.19263741815217789,7x212,126x7,0.02688199980184436
238,SNR_8db,ONMF,7,1,0.05,False,0.19561417592272173,7x212,126x7,0.027580299880355597
239,SNR_8db,ONMF,7,1,0.05,False,0.21185820725859283,7x212,126x7,0.026567900087684393
240,SNR_8db,ONMF,7,1,0.05,False,0.20080452166356205,7x212,126x7,0.024211999960243702
241,SNR_8db,ONMF,7,1,0.05,False,0.20514807321666648,7x212,126x7,0.026205800008028746
242,SNR_8db,ONMF,7,1,0.05,False,0.2028296896346264,7x212,126x7,0.024014299968257546
243,SNR_8db,ONMF,7,1,0.05,False,0.1975654381536135,7x212,126x7,0.023839199915528297
244,SNR_8db,ONMF,7,1,0.05,False,0.1895776990876276,7x212,126x7,0.02382280002348125
245,SNR_8db,ONMF,7,1,0.05,False,0.19972357727521706,7x212,126x7,0.026467200135812163
246,SNR_8db,ONMF,7,1,0.05,False,0.2023054648474323,7x212,126x7,0.02531030005775392
247,SNR_8db,ONMF,7,1,0.05,False,0.16443799583823143,7x212,126x7,0.024525299901142716
248,SNR_8db,ONMF,7,1,0.05,False,0.18498701152558172,7x212,126x7,0.024168299976736307
249,SNR_8db,ONMF,7,1,0.05,False,0.18709225958892267,7x212,126x7,0.024915199959650636
250,SNR_8db,ONMF,7,1,0.05,False,0.19592529402083597,7x212,126x7,0.025834100088104606
251,SNR_8db,ONMF,7,1,0.05,False,0.1867041627649034,7x212,126x7,0.02425270015373826
252,SNR_8db,ONMF,7,1,0.05,False,0.1944953387146789,7x212,126x7,0.0243475001771003
253,SNR_8db,ONMF,7,1,0.05,False,0.19321016894929335,7x212,126x7,0.024893099907785654
254,SNR_8db,ONMF,7,1,0.05,False,0.18886001712947592,7x212,126x7,0.02399030001834035
